sample_name	model	auroc	auprc	wtype
03670742-50ed-4212-b566-784e1d0a1053	MOBSNVF	0.667318982387477	0.841781138784642	MuSE
03670742-50ed-4212-b566-784e1d0a1053	SOBDetector	0.708414872798434	0.86877961423455	MuSE
03670742-50ed-4212-b566-784e1d0a1053	VAFSNVF	0.48825831702544	0.795134287836728	MuSE
066565d1-104d-4f18-ab2a-406cf81c7aaa	MOBSNVF	0.978494623655915	0.995863396363573	MuSE
066565d1-104d-4f18-ab2a-406cf81c7aaa	SOBDetector	0.755376344086017	0.89328793971439	MuSE
066565d1-104d-4f18-ab2a-406cf81c7aaa	VAFSNVF	0.553763440860218	0.865021249884884	MuSE
08a1a0f1-054a-4a75-9c20-d048c14f3de1	MOBSNVF	0.628389154704942	0.875789599726495	MuSE
08a1a0f1-054a-4a75-9c20-d048c14f3de1	SOBDetector	0.499202551834132	0.824057153083013	MuSE
08a1a0f1-054a-4a75-9c20-d048c14f3de1	VAFSNVF	0.529771398192453	0.833687632888617	MuSE
095f0fb1-a4a1-4c9e-a998-60671dda5de5	MOBSNVF	0.767911818738508	0.882880290090004	MuSE
095f0fb1-a4a1-4c9e-a998-60671dda5de5	SOBDetector	0.840783833435394	0.90051612931131	MuSE
095f0fb1-a4a1-4c9e-a998-60671dda5de5	VAFSNVF	0.775872627066743	0.883526618693076	MuSE
107f8ba1-4638-40a8-8810-af17d13fc2be	MOBSNVF	0.627659574468082	0.916098137006711	MuSE
107f8ba1-4638-40a8-8810-af17d13fc2be	SOBDetector	0.203900709219858	0.772502132404129	MuSE
107f8ba1-4638-40a8-8810-af17d13fc2be	VAFSNVF	0.709219858156028	0.949832349359299	MuSE
13b63862-9ba1-4a97-89fd-3243a43a3b97	MOBSNVF	0.658041958041955	0.692891919452511	MuSE
13b63862-9ba1-4a97-89fd-3243a43a3b97	SOBDetector	0.595104895104895	0.68062563573816	MuSE
13b63862-9ba1-4a97-89fd-3243a43a3b97	VAFSNVF	0.80891608391608	0.847283717960835	MuSE
1d057b2b-e362-4f9c-84ab-f389ee9581c0	MOBSNVF	0.605917667238424	0.618639248558571	MuSE
1d057b2b-e362-4f9c-84ab-f389ee9581c0	SOBDetector	0.591052029731275	0.642175784500738	MuSE
1d057b2b-e362-4f9c-84ab-f389ee9581c0	VAFSNVF	0.834619782732989	0.824932067671651	MuSE
24eda4a0-d974-4c6a-b745-b8e12a93576e	MOBSNVF	0.557291666666669	0.856393618863649	MuSE
24eda4a0-d974-4c6a-b745-b8e12a93576e	SOBDetector	0.45982142857143	0.818413106098708	MuSE
24eda4a0-d974-4c6a-b745-b8e12a93576e	VAFSNVF	0.438988095238096	0.792454536070083	MuSE
29e68a40-cf28-4e5e-b646-b9119d6f2f75	MOBSNVF	0.484848484848484	0.284926463682874	MuSE
29e68a40-cf28-4e5e-b646-b9119d6f2f75	SOBDetector	0.313131313131312	0.212688435101329	MuSE
29e68a40-cf28-4e5e-b646-b9119d6f2f75	VAFSNVF	0.310606060606061	0.21667894975272	MuSE
2b120aa2-0cf6-4a1c-970c-0ec747eb7781	MOBSNVF	1.0	1.0	MuSE
2b120aa2-0cf6-4a1c-970c-0ec747eb7781	SOBDetector	0.871621621621621	0.993509371695497	MuSE
2b120aa2-0cf6-4a1c-970c-0ec747eb7781	VAFSNVF	0.351351351351347	0.955060142414999	MuSE
2fc066ca-ced1-4791-abe5-25d131dff843	MOBSNVF	0.736186594202893	0.684558486607707	MuSE
2fc066ca-ced1-4791-abe5-25d131dff843	SOBDetector	0.926177536231884	0.919451827845512	MuSE
2fc066ca-ced1-4791-abe5-25d131dff843	VAFSNVF	0.782382246376812	0.78360804410589	MuSE
310a7095-a693-4374-913d-9ecd64943761	MOBSNVF	0.502846299810246	0.478208417560889	MuSE
310a7095-a693-4374-913d-9ecd64943761	SOBDetector	0.51470588235294	0.48917432957214	MuSE
310a7095-a693-4374-913d-9ecd64943761	VAFSNVF	0.774667931688807	0.723864985790717	MuSE
325431c6-70f2-4fb0-a969-46b10813efd0	MOBSNVF	0.637336504161716	0.581587240875675	MuSE
325431c6-70f2-4fb0-a969-46b10813efd0	SOBDetector	0.527586206896553	0.489261359539857	MuSE
325431c6-70f2-4fb0-a969-46b10813efd0	VAFSNVF	0.816884661117716	0.741182332291172	MuSE
404def10-0bf2-4aed-bd63-3e16243330b5	MOBSNVF	0.970588235294125	0.999113531778496	MuSE
404def10-0bf2-4aed-bd63-3e16243330b5	SOBDetector	0.584967320261437	0.964230116947402	MuSE
404def10-0bf2-4aed-bd63-3e16243330b5	VAFSNVF	0.916666666666663	0.997476275432162	MuSE
