sample_name	model	auroc	auprc
all-samples	gatk-obmm	0.528814664097511	0.00289859114933706
all-samples	microsec	0.567939295403142	0.0032364739562277
all-samples	mobsnvf	0.946261570552276	0.141846802290949
all-samples	sobdetector	0.70019102900545	0.00464197305945158
all-samples	vafsnvf	0.681824688963191	0.00419996971211368
T1_FFPE	gatk-obmm	0.587221521647751	0.0120724346076458
T1_FFPE	microsec	0.448323875577963	0.00892358390918215
T1_FFPE	mobsnvf	0.960137312596326	0.508491385994568
T1_FFPE	sobdetector	0.722546237915104	0.0179971604738443
T1_FFPE	vafsnvf	0.989675283732661	0.453463951780111
T2_FFPE	gatk-obmm	0.509690271019287	0.00873060049074719
T2_FFPE	microsec	0.611672344660209	0.011441823578833
T2_FFPE	mobsnvf	0.914024215828829	0.217159556854081
T2_FFPE	sobdetector	0.63649365486361	0.011466767730595
T2_FFPE	vafsnvf	0.573729131446861	0.00904809482191153
T3_FFPE	gatk-obmm	0.527245152204593	0.003880392604428
T3_FFPE	microsec	0.596576752247845	0.00467499601962564
T3_FFPE	mobsnvf	0.989160565103519	0.163016629742502
T3_FFPE	sobdetector	0.793295608786252	0.00814465064212394
T3_FFPE	vafsnvf	0.872290853922837	0.0134686484163624
T4_2007_FFPE	gatk-obmm	0.577193655666347	7.56258035241484e-05
T4_2007_FFPE	microsec	0.578472755180289	7.58552681483456e-05
T4_2007_FFPE	mobsnvf	0.994659759529291	0.00595238095238088
T4_2007_FFPE	sobdetector	0.484235098490662	6.19196946051774e-05
T4_2007_FFPE	vafsnvf	0.362304937324124	5.0142069222395e-05
T4_2009_FFPE	gatk-obmm	0.5011098779135	0.00081895291020781
T4_2009_FFPE	microsec	0.560993215558259	0.000978826040414474
T4_2009_FFPE	mobsnvf	0.95069179608286	0.111861743982047
T4_2009_FFPE	sobdetector	0.75603756895015	0.00235122758243042
T4_2009_FFPE	vafsnvf	0.692508303707091	0.00126826032059523
