sample_name	model	auroc	auprc	short_name
Sample_B83_0027	gatk-obmm	0.567547973193018	0.0287251079323331	ENA_chong21_11
Sample_B83_0027	ideafix	0.929399282177555	0.411528465303939	ENA_chong21_11
Sample_B83_0027	mobsnvf	0.944670681141938	0.451676569552974	ENA_chong21_11
Sample_B83_0027	sobdetector	0.728022915093283	0.0434007566426154	ENA_chong21_11
Sample_B83_0027	vafsnvf	0.925001330935321	0.344182618234842	ENA_chong21_11
Sample_B83_0031	ffpolish	0.945217966113495	0.54550504930947	ENA_chong21_12
Sample_B83_0031	gatk-obmm	0.709731170850918	0.040396621373484	ENA_chong21_12
Sample_B83_0031	ideafix	0.894140058055156	0.0571829312400274	ENA_chong21_12
Sample_B83_0031	mobsnvf	0.970528771384138	0.323891910510992	ENA_chong21_12
Sample_B83_0031	sobdetector	0.700688735836488	0.0399225026806093	ENA_chong21_12
Sample_B83_0031	vafsnvf	0.989300357496313	0.607073194193114	ENA_chong21_12
Sample_B83_0032	ffpolish	0.86353248449234	0.631219315167198	ENA_chong21_13
Sample_B83_0032	gatk-obmm	0.659414948213123	0.212337059570337	ENA_chong21_13
Sample_B83_0032	ideafix	0.568660968660969	0.242810697950777	ENA_chong21_13
Sample_B83_0032	mobsnvf	0.930589250723149	0.668453848218714	ENA_chong21_13
Sample_B83_0032	sobdetector	0.69947396659512	0.224326577013998	ENA_chong21_13
Sample_B83_0032	vafsnvf	0.857832182513762	0.547395831838016	ENA_chong21_13
