sample	cutoff	precision	recall	specificity	1-PPV	TP	TN	FP	FN	log(q-cut)	log(1-PPV)
947ba7d2-ef4b-4908-be9c-3451646f7d36	9.32603346883218e-16	0.8	0.631578947368421	0.9210526315789473	0.19999999999999996	12	35	3	7	-34.608551700758994	-1.6094379124341005
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.3530477745798075e-15	0.8	0.631578947368421	0.9210526315789473	0.19999999999999996	12	35	3	7	-34.2364167362347	-1.6094379124341005
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.9630406500402685e-15	0.8	0.631578947368421	0.9210526315789473	0.19999999999999996	12	35	3	7	-33.86428177171041	-1.6094379124341005
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.8480358684358048e-15	0.8	0.631578947368421	0.9210526315789473	0.19999999999999996	12	35	3	7	-33.49214680718612	-1.6094379124341005
947ba7d2-ef4b-4908-be9c-3451646f7d36	4.132012400115334e-15	0.8	0.631578947368421	0.9210526315789473	0.19999999999999996	12	35	3	7	-33.12001184266183	-1.6094379124341005
947ba7d2-ef4b-4908-be9c-3451646f7d36	5.994842503189421e-15	0.8	0.631578947368421	0.9210526315789473	0.19999999999999996	12	35	3	7	-32.74787687813754	-1.6094379124341005
947ba7d2-ef4b-4908-be9c-3451646f7d36	8.697490026177834e-15	0.8125	0.6842105263157895	0.9210526315789473	0.1875	13	35	3	6	-32.37574191361325	-1.6739764335716716
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.2618568830660185e-14	0.8235294117647058	0.7368421052631579	0.9210526315789473	0.17647058823529416	14	35	3	5	-32.00360694908896	-1.7346010553881062
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.8307382802953698e-14	0.8235294117647058	0.7368421052631579	0.9210526315789473	0.17647058823529416	14	35	3	5	-31.631471984564666	-1.7346010553881062
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.6560877829466838e-14	0.8235294117647058	0.7368421052631579	0.9210526315789473	0.17647058823529416	14	35	3	5	-31.25933702004038	-1.7346010553881062
947ba7d2-ef4b-4908-be9c-3451646f7d36	3.853528593710535e-14	0.8235294117647058	0.7368421052631579	0.9210526315789473	0.17647058823529416	14	35	3	5	-30.887202055516084	-1.7346010553881062
947ba7d2-ef4b-4908-be9c-3451646f7d36	5.590810182512223e-14	0.7777777777777778	0.7368421052631579	0.8947368421052632	0.2222222222222222	14	34	4	5	-30.5150670909918	-1.5040773967762742
947ba7d2-ef4b-4908-be9c-3451646f7d36	8.111308307896889e-14	0.75	0.7894736842105263	0.868421052631579	0.25	15	33	5	4	-30.142932126467503	-1.3862943611198906
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.176811952434999e-13	0.75	0.7894736842105263	0.868421052631579	0.25	15	33	5	4	-29.770797161943218	-1.3862943611198906
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.7073526474706888e-13	0.75	0.7894736842105263	0.868421052631579	0.25	15	33	5	4	-29.39866219741893	-1.3862943611198906
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.477076355991714e-13	0.7142857142857143	0.7894736842105263	0.8421052631578947	0.2857142857142857	15	32	6	4	-29.026527232894637	-1.252762968495368
947ba7d2-ef4b-4908-be9c-3451646f7d36	3.593813663804626e-13	0.7142857142857143	0.7894736842105263	0.8421052631578947	0.2857142857142857	15	32	6	4	-28.654392268370348	-1.252762968495368
947ba7d2-ef4b-4908-be9c-3451646f7d36	5.214008287999695e-13	0.7142857142857143	0.7894736842105263	0.8421052631578947	0.2857142857142857	15	32	6	4	-28.282257303846055	-1.252762968495368
947ba7d2-ef4b-4908-be9c-3451646f7d36	7.564633275546291e-13	0.7142857142857143	0.7894736842105263	0.8421052631578947	0.2857142857142857	15	32	6	4	-27.910122339321767	-1.252762968495368
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.097498765493059e-12	0.7142857142857143	0.7894736842105263	0.8421052631578947	0.2857142857142857	15	32	6	4	-27.537987374797474	-1.252762968495368
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.5922827933410938e-12	0.7272727272727273	0.8421052631578947	0.8421052631578947	0.2727272727272727	16	32	6	3	-27.165852410273185	-1.2992829841302609
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.310129700083158e-12	0.7272727272727273	0.8421052631578947	0.8421052631578947	0.2727272727272727	16	32	6	3	-26.793717445748896	-1.2992829841302609
947ba7d2-ef4b-4908-be9c-3451646f7d36	3.3516026509388475e-12	0.7272727272727273	0.8421052631578947	0.8421052631578947	0.2727272727272727	16	32	6	3	-26.421582481224604	-1.2992829841302609
947ba7d2-ef4b-4908-be9c-3451646f7d36	4.8626015800653536e-12	0.7272727272727273	0.8421052631578947	0.8421052631578947	0.2727272727272727	16	32	6	3	-26.049447516700315	-1.2992829841302609
947ba7d2-ef4b-4908-be9c-3451646f7d36	7.054802310718631e-12	0.7272727272727273	0.8421052631578947	0.8421052631578947	0.2727272727272727	16	32	6	3	-25.677312552176026	-1.2992829841302609
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.0235310218990269e-11	0.7272727272727273	0.8421052631578947	0.8421052631578947	0.2727272727272727	16	32	6	3	-25.305177587651734	-1.2992829841302609
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.4849682622544695e-11	0.6956521739130435	0.8421052631578947	0.8157894736842105	0.30434782608695654	16	31	7	3	-24.93304262312744	-1.1895840668738362
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.1544346900318868e-11	0.6956521739130435	0.8421052631578947	0.8157894736842105	0.30434782608695654	16	31	7	3	-24.560907658603153	-1.1895840668738362
947ba7d2-ef4b-4908-be9c-3451646f7d36	3.125715849688235e-11	0.6296296296296297	0.8947368421052632	0.7368421052631579	0.37037037037037035	17	28	10	2	-24.188772694078864	-0.9932517730102834
947ba7d2-ef4b-4908-be9c-3451646f7d36	4.5348785081285915e-11	0.6296296296296297	0.8947368421052632	0.7368421052631579	0.37037037037037035	17	28	10	2	-23.81663772955457	-0.9932517730102834
947ba7d2-ef4b-4908-be9c-3451646f7d36	6.579332246575682e-11	0.6296296296296297	0.8947368421052632	0.7368421052631579	0.37037037037037035	17	28	10	2	-23.444502765030283	-0.9932517730102834
947ba7d2-ef4b-4908-be9c-3451646f7d36	9.545484566618327e-11	0.6296296296296297	0.8947368421052632	0.7368421052631579	0.37037037037037035	17	28	10	2	-23.072367800505994	-0.9932517730102834
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.3848863713938747e-10	0.6428571428571429	0.9473684210526315	0.7368421052631579	0.3571428571428571	18	28	10	1	-22.7002328359817	-1.0296194171811583
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.009233002565054e-10	0.6	0.9473684210526315	0.6842105263157895	0.4	18	26	12	1	-22.32809787145741	-0.916290731874155
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.915053062825182e-10	0.6	0.9473684210526315	0.6842105263157895	0.4	18	26	12	1	-21.95596290693312	-0.916290731874155
947ba7d2-ef4b-4908-be9c-3451646f7d36	4.229242874389499e-10	0.6	0.9473684210526315	0.6842105263157895	0.4	18	26	12	1	-21.58382794240883	-0.916290731874155
947ba7d2-ef4b-4908-be9c-3451646f7d36	6.135907273413188e-10	0.5625	0.9473684210526315	0.631578947368421	0.4375	18	24	14	1	-21.21169297788454	-0.8266785731844679
947ba7d2-ef4b-4908-be9c-3451646f7d36	8.902150854450393e-10	0.5625	0.9473684210526315	0.631578947368421	0.4375	18	24	14	1	-20.83955801336025	-0.8266785731844679
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.2915496650148826e-9	0.5757575757575758	1.0	0.631578947368421	0.4242424242424242	19	24	14	0	-20.46742304883596	-0.8574502318512217
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.873817422860387e-9	0.5428571428571428	1.0	0.5789473684210527	0.4571428571428572	19	22	16	0	-20.09528808431167	-0.7827593392496324
947ba7d2-ef4b-4908-be9c-3451646f7d36	2.7185882427329512e-9	0.5277777777777778	1.0	0.5526315789473685	0.4722222222222222	19	21	17	0	-19.723153119787376	-0.750305594399894
947ba7d2-ef4b-4908-be9c-3451646f7d36	3.944206059437664e-9	0.5277777777777778	1.0	0.5526315789473685	0.4722222222222222	19	21	17	0	-19.351018155263088	-0.750305594399894
947ba7d2-ef4b-4908-be9c-3451646f7d36	5.72236765935022e-9	0.5135135135135135	1.0	0.5263157894736842	0.4864864864864865	19	20	18	0	-18.9788831907388	-0.7205461547480597
947ba7d2-ef4b-4908-be9c-3451646f7d36	8.302175681319769e-9	0.5	1.0	0.5	0.5	19	19	19	0	-18.606748226214506	-0.6931471805599453
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.2045035402587836e-8	0.5	1.0	0.5	0.5	19	19	19	0	-18.234613261690217	-0.6931471805599453
947ba7d2-ef4b-4908-be9c-3451646f7d36	1.7475284000076902e-8	0.48717948717948717	1.0	0.47368421052631576	0.5128205128205128	19	18	20	0	-17.862478297165925	-0.6678293725756556
