case_id	sample_name	sample_type	n_ct	dataset_id
011b9b2d-ebe5-42bf-9662-d922faccc7a1	93eca453-294b-4400-8b41-c4455ddc7e45	FFPE	297	TCGA
011b9b2d-ebe5-42bf-9662-d922faccc7a1	39329506-f3bf-4af7-9372-01a2f0ea9499	FFPE	239	TCGA
011b9b2d-ebe5-42bf-9662-d922faccc7a1	b78da977-c9b9-4817-aabe-e5da6a0f9389	Fresh Frozen	75	TCGA
011b9b2d-ebe5-42bf-9662-d922faccc7a1	0d278c5f-8f8f-4c1d-8198-743626087b24	Fresh Frozen	83	TCGA
011b9b2d-ebe5-42bf-9662-d922faccc7a1	ae099563-512c-4b20-bc9c-740b915ad00f	Fresh Frozen	99	TCGA
011b9b2d-ebe5-42bf-9662-d922faccc7a1	54c238e9-f9d7-4804-8b85-661bad77f0fa	Fresh Frozen	70	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	cf1f5ad2-bc10-4021-a904-e190649ac4e9	FFPE	30	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	FFPE	34	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	65456253-6d46-44b7-97c5-b7f7d99beb4c	Fresh Frozen	30	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	45154d62-6c98-435b-a72a-11ff271c0d6b	Fresh Frozen	33	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	11becd8c-6d52-49aa-8b8c-b63c69cf9590	Fresh Frozen	30	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	078c26d1-367d-49a5-bb89-218f4242535b	Fresh Frozen	32	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	f74c70c6-74be-4552-bced-5f1097b555f7	Fresh Frozen	30	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	06951c74-a5f6-4fb5-bd30-357362bc1372	Fresh Frozen	32	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	82871a7e-3141-4e82-b54d-9013c83daec1	Fresh Frozen	31	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	5c59cbf5-fd6d-491f-8244-ebb35dd217fa	Fresh Frozen	31	TCGA
30f276a8-3a4b-4de8-aea0-7f605d100401	316d70cd-20a9-4d0b-be96-d14d9ad1dd17	FFPE	196	TCGA
30f276a8-3a4b-4de8-aea0-7f605d100401	361093cc-8fad-4dd0-81ea-ea15f91f0992	Fresh Frozen	54	TCGA
3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a	d68761a5-54a7-439c-94d2-44cfc901d911	FFPE	381	TCGA
3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a	b3320ef0-f600-4d98-a8b5-6525d665d2e2	Fresh Frozen	66	TCGA
418a004e-d5a9-461b-8764-4b581b6b8223	7d78c513-dd57-4d60-9556-b154601fd0dd	FFPE	227	TCGA
418a004e-d5a9-461b-8764-4b581b6b8223	8f5d10af-16c4-4ab2-be3c-c1b9a243c686	FFPE	153	TCGA
418a004e-d5a9-461b-8764-4b581b6b8223	bd0a2712-56bc-496c-a479-eea33466d868	Fresh Frozen	158	TCGA
49929108-023e-4d35-b26d-50ab4d3ae581	49ce0762-2ab2-49de-b611-ded7efe00a21	FFPE	201	TCGA
49929108-023e-4d35-b26d-50ab4d3ae581	52c3ea1f-80df-4644-9761-8e963e353e31	FFPE	207	TCGA
49929108-023e-4d35-b26d-50ab4d3ae581	1c695c0e-2b12-432b-b2c8-a54091bad11f	Fresh Frozen	222	TCGA
49929108-023e-4d35-b26d-50ab4d3ae581	680a62d1-23c6-4fe6-b891-69fddb3dec63	Fresh Frozen	207	TCGA
4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b	a071fc3c-2ec2-47ae-8d65-023e9b9dd5d2	FFPE	1930	TCGA
4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b	550bf20c-ef33-4d48-8365-3a1c2299c240	Fresh Frozen	2312	TCGA
556fcbc8-172a-4af1-8822-ae036e8d68e8	adb1887f-18cb-4e98-816e-27f9358ccd90	FFPE	175	TCGA
556fcbc8-172a-4af1-8822-ae036e8d68e8	d531f102-41c4-4584-a666-f38d79c18276	FFPE	179	TCGA
556fcbc8-172a-4af1-8822-ae036e8d68e8	bfa355bf-3261-488c-9889-177d5f19eeeb	Fresh Frozen	128	TCGA
556fcbc8-172a-4af1-8822-ae036e8d68e8	0e1fecce-7733-4f68-974c-c53b237d5dd8	Fresh Frozen	131	TCGA
556fcbc8-172a-4af1-8822-ae036e8d68e8	dd5b456e-bfa6-472c-9e78-1ec2874aa079	Fresh Frozen	128	TCGA
556fcbc8-172a-4af1-8822-ae036e8d68e8	7575e70d-f13c-4e1b-a382-7e2fccfc44c7	Fresh Frozen	122	TCGA
67c5f371-3fa9-47c5-8b15-c2dd9acc8519	5e721480-ba9f-4eff-ac8a-a76968266155	FFPE	911	TCGA
67c5f371-3fa9-47c5-8b15-c2dd9acc8519	b7d1fdc8-2b42-43e3-b3d2-33a9103104a4	Fresh Frozen	34	TCGA
68b86559-38b2-41f2-b66e-c3c2b628b14d	dabb05ae-ff44-4e06-a320-5269d8c68eed	FFPE	127	TCGA
68b86559-38b2-41f2-b66e-c3c2b628b14d	d9bb7426-baaf-4263-a349-76b03bc7ef49	FFPE	130	TCGA
68b86559-38b2-41f2-b66e-c3c2b628b14d	d833f0ed-29d0-4790-b609-2531e9e78a86	Fresh Frozen	254	TCGA
68b86559-38b2-41f2-b66e-c3c2b628b14d	f47ec950-df09-48a7-bea6-c050b38e8116	Fresh Frozen	187	TCGA
68b86559-38b2-41f2-b66e-c3c2b628b14d	854bfa47-4316-4d27-803a-cdb577718ba1	Fresh Frozen	196	TCGA
