sample_name	model	auroc	auprc
0815b61e-3e31-44b8-b25d-f2ee96d1a2c3	microsec	0.731955527660716	0.0635373549265035
0815b61e-3e31-44b8-b25d-f2ee96d1a2c3	mobsnvf	0.593228279386714	0.0399041058839979
0815b61e-3e31-44b8-b25d-f2ee96d1a2c3	sobdetector	0.947487223168654	0.238340647523215
0815b61e-3e31-44b8-b25d-f2ee96d1a2c3	vafsnvf	0.493057921635436	0.0306373101390317
0eaea4dd-2f80-4a15-b66f-f593e2d8bb98	microsec	0.816523757638921	0.431900444129764
0eaea4dd-2f80-4a15-b66f-f593e2d8bb98	mobsnvf	0.814995973281538	0.473542442434078
0eaea4dd-2f80-4a15-b66f-f593e2d8bb98	sobdetector	0.963392391870774	0.835063558744371
0eaea4dd-2f80-4a15-b66f-f593e2d8bb98	vafsnvf	0.850549528637074	0.525902619755281
1a9ca0a1-86f0-4890-a145-9928376e3fc6	microsec	0.486842105263157	0.552325874319002
1a9ca0a1-86f0-4890-a145-9928376e3fc6	mobsnvf	0.820175438596493	0.894552055618274
1a9ca0a1-86f0-4890-a145-9928376e3fc6	sobdetector	0.711403508771929	0.685741527044224
1a9ca0a1-86f0-4890-a145-9928376e3fc6	vafsnvf	0.843859649122817	0.817493589666878
25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	microsec	0.5	0.794117647058831
25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	mobsnvf	1	1
25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	sobdetector	0.820105820105822	0.951104466591903
25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	vafsnvf	1	1
2c3f9bee-2ada-4bfc-8d21-2d43d3936c17	microsec	0.508432539682538	0.0606957705305039
2c3f9bee-2ada-4bfc-8d21-2d43d3936c17	mobsnvf	0.947916666666667	0.514689657233618
2c3f9bee-2ada-4bfc-8d21-2d43d3936c17	sobdetector	0.407118055555556	0.0473915500189435
2c3f9bee-2ada-4bfc-8d21-2d43d3936c17	vafsnvf	0.865413346613546	0.173672485469884
316d70cd-20a9-4d0b-be96-d14d9ad1dd17	microsec	0.539514348785873	0.245055689822165
316d70cd-20a9-4d0b-be96-d14d9ad1dd17	mobsnvf	0.828182487122888	0.501353435029345
316d70cd-20a9-4d0b-be96-d14d9ad1dd17	sobdetector	0.794849153789551	0.400949240763893
316d70cd-20a9-4d0b-be96-d14d9ad1dd17	vafsnvf	0.666225165562916	0.287026145846081
31fd0a13-c4c5-47cb-99cb-62b46c23f6c6	microsec	0.547061047061047	0.81023238479782
31fd0a13-c4c5-47cb-99cb-62b46c23f6c6	mobsnvf	0.842940842940843	0.943403707112476
31fd0a13-c4c5-47cb-99cb-62b46c23f6c6	sobdetector	0.801266301266301	0.891471461095492
31fd0a13-c4c5-47cb-99cb-62b46c23f6c6	vafsnvf	0.537138537138538	0.76552845169808
35d40095-b326-47d1-9c4e-ee665dc0ceda	microsec	0.5	0.5
35d40095-b326-47d1-9c4e-ee665dc0ceda	mobsnvf	0.963010204081633	0.943398806619439
35d40095-b326-47d1-9c4e-ee665dc0ceda	sobdetector	0.719387755102041	0.58779084311863
35d40095-b326-47d1-9c4e-ee665dc0ceda	vafsnvf	0.878188775510204	0.752321463595519
39329506-f3bf-4af7-9372-01a2f0ea9499	microsec	0.777321428571428	0.464715233351875
39329506-f3bf-4af7-9372-01a2f0ea9499	mobsnvf	0.785892857142859	0.529414700948599
39329506-f3bf-4af7-9372-01a2f0ea9499	sobdetector	0.937991071428572	0.801802066298202
39329506-f3bf-4af7-9372-01a2f0ea9499	vafsnvf	0.847321428571429	0.556820799754643
3bf960a0-2429-4cb9-a5b0-004879082635	microsec	0.518464052287583	0.888210035835244
3bf960a0-2429-4cb9-a5b0-004879082635	mobsnvf	0.967973856209151	0.995835142729546
3bf960a0-2429-4cb9-a5b0-004879082635	sobdetector	0.883660130718954	0.981647998489278
