sample_name	model	auroc	auprc	workflow_type	workflow_type_right
08f00e74-bd40-4017-9322-40afe6dc88ba	VAFSNVF	0.725620155038761	0.248122819031616	VarScan2	VarScan2
095f0fb1-a4a1-4c9e-a998-60671dda5de5	MicroSEC	0.696264543784445	0.837639436059088	MuSE	MuSE
095f0fb1-a4a1-4c9e-a998-60671dda5de5	MOBSNVF	0.767911818738508	0.882880290090004	MuSE	MuSE
095f0fb1-a4a1-4c9e-a998-60671dda5de5	SOBDetector	0.814188409143385	0.819081545913366	MuSE	MuSE
095f0fb1-a4a1-4c9e-a998-60671dda5de5	VAFSNVF	0.775872627066743	0.883526618693076	MuSE	MuSE
0d954a8b-7fc3-405d-8f22-8c92c60dde78	MicroSEC	0.565094678578364	0.0790103383819458	SomaticSniper	SomaticSniper
0d954a8b-7fc3-405d-8f22-8c92c60dde78	MOBSNVF	0.714137465774867	0.199668052924354	SomaticSniper	SomaticSniper
0d954a8b-7fc3-405d-8f22-8c92c60dde78	SOBDetector	0.719062386740898	0.127749599273694	SomaticSniper	SomaticSniper
0d954a8b-7fc3-405d-8f22-8c92c60dde78	VAFSNVF	0.358849096134866	0.0522081614249957	SomaticSniper	SomaticSniper
0eaea4dd-2f80-4a15-b66f-f593e2d8bb98	MicroSEC	0.816523757638921	0.431900444129764	MuTect2	MuTect2
0eaea4dd-2f80-4a15-b66f-f593e2d8bb98	MOBSNVF	0.814995973281538	0.473542442434078	MuTect2	MuTect2
0eaea4dd-2f80-4a15-b66f-f593e2d8bb98	SOBDetector	0.960536651374663	0.771902603346615	MuTect2	MuTect2
0eaea4dd-2f80-4a15-b66f-f593e2d8bb98	VAFSNVF	0.850549528637074	0.525902619755281	MuTect2	MuTect2
107f8ba1-4638-40a8-8810-af17d13fc2be	MicroSEC	0.666666666666666	0.921568627450969	MuSE	MuSE
107f8ba1-4638-40a8-8810-af17d13fc2be	MOBSNVF	0.627659574468082	0.916098137006711	MuSE	MuSE
107f8ba1-4638-40a8-8810-af17d13fc2be	SOBDetector	0.468868520859671	0.927777908040024	MuSE	MuSE
107f8ba1-4638-40a8-8810-af17d13fc2be	VAFSNVF	0.709219858156028	0.949832349359299	MuSE	MuSE
10e381d9-5649-4337-99ac-1f7e25b433ff	MicroSEC	0.543436293436293	0.267652813795424	VarScan2	VarScan2
10e381d9-5649-4337-99ac-1f7e25b433ff	MOBSNVF	0.865220615498701	0.562173616407908	VarScan2	VarScan2
10e381d9-5649-4337-99ac-1f7e25b433ff	SOBDetector	0.581708478882185	0.311065198955485	VarScan2	VarScan2
10e381d9-5649-4337-99ac-1f7e25b433ff	VAFSNVF	0.661661104931404	0.338722016131546	VarScan2	VarScan2
13b63862-9ba1-4a97-89fd-3243a43a3b97	MicroSEC	0.559659090909091	0.623947535253605	MuSE	MuSE
13b63862-9ba1-4a97-89fd-3243a43a3b97	MOBSNVF	0.658041958041955	0.692891919452511	MuSE	MuSE
13b63862-9ba1-4a97-89fd-3243a43a3b97	SOBDetector	0.582343807088053	0.606809080030522	MuSE	MuSE
13b63862-9ba1-4a97-89fd-3243a43a3b97	VAFSNVF	0.80891608391608	0.847283717960835	MuSE	MuSE
184b283e-621f-4adb-8b9a-bec00716b5ec	MicroSEC	0.647117427680773	0.0414378672629749	SomaticSniper	SomaticSniper
184b283e-621f-4adb-8b9a-bec00716b5ec	MOBSNVF	0.823987139260588	0.191165743355333	SomaticSniper	SomaticSniper
