"case_id"	"wtype"	"vcf_fid"	"model"	"auroc"	"auprc"
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"muse"	"095f0fb1-a4a1-4c9e-a998-60671dda5de5"	"mobsnvf"	0.928824209157878	0.846436229608152
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"muse"	"095f0fb1-a4a1-4c9e-a998-60671dda5de5"	"vafsnvf"	0.912501805575625	0.838259808537676
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"muse"	"095f0fb1-a4a1-4c9e-a998-60671dda5de5"	"sobdetector"	0.856998411093459	0.644000139257973
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"muse"	"095f0fb1-a4a1-4c9e-a998-60671dda5de5"	"microsec"	0.645240502672252	0.433745171044099
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"muse"	"43b12853-f7db-4bbb-b6eb-e81e357c3971"	"mobsnvf"	0.920270796804987	0.837540438141732
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"muse"	"43b12853-f7db-4bbb-b6eb-e81e357c3971"	"vafsnvf"	0.835037989479838	0.743205261778755
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"muse"	"43b12853-f7db-4bbb-b6eb-e81e357c3971"	"sobdetector"	0.847798558347947	0.673810235549805
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"muse"	"43b12853-f7db-4bbb-b6eb-e81e357c3971"	"microsec"	0.614455484122346	0.496356010363086
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"mutect2"	"39329506-f3bf-4af7-9372-01a2f0ea9499"	"mobsnvf"	0.824711724895571	0.560417011279807
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"mutect2"	"39329506-f3bf-4af7-9372-01a2f0ea9499"	"vafsnvf"	0.60678271456153	0.287666314624507
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"mutect2"	"39329506-f3bf-4af7-9372-01a2f0ea9499"	"sobdetector"	0.764734174759138	0.394057109946513
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"mutect2"	"39329506-f3bf-4af7-9372-01a2f0ea9499"	"microsec"	0.511703511497524	0.255091381350641
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"mutect2"	"93eca453-294b-4400-8b41-c4455ddc7e45"	"mobsnvf"	0.795059764149306	0.459527272905587
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"mutect2"	"93eca453-294b-4400-8b41-c4455ddc7e45"	"vafsnvf"	0.616772952552594	0.351519001583008
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"mutect2"	"93eca453-294b-4400-8b41-c4455ddc7e45"	"sobdetector"	0.732161733615224	0.300371956999983
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"mutect2"	"93eca453-294b-4400-8b41-c4455ddc7e45"	"microsec"	0.500000000000001	0.195051546391747
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"somaticsniper"	"9ce3888b-e1e3-44b1-bd5a-164289106cc3"	"mobsnvf"	0.864267050987082	0.531040133758714
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"somaticsniper"	"9ce3888b-e1e3-44b1-bd5a-164289106cc3"	"vafsnvf"	0.192298340500823	0.0486487597853087
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"somaticsniper"	"9ce3888b-e1e3-44b1-bd5a-164289106cc3"	"sobdetector"	0.850046530905713	0.383544352854414
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"somaticsniper"	"9ce3888b-e1e3-44b1-bd5a-164289106cc3"	"microsec"	0.500000000000095	0.0834846765039778
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"somaticsniper"	"cada6b29-1050-4704-b939-a1312f065e03"	"mobsnvf"	0.810102613620355	0.416323718865149
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"somaticsniper"	"cada6b29-1050-4704-b939-a1312f065e03"	"vafsnvf"	0.423783820411449	0.125414403251057
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"somaticsniper"	"cada6b29-1050-4704-b939-a1312f065e03"	"sobdetector"	0.776626803472936	0.383636426411395
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"somaticsniper"	"cada6b29-1050-4704-b939-a1312f065e03"	"microsec"	0.553866801119137	0.171066411361169
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"varscan2"	"a3b6625e-0ec4-4318-88c8-9226f6ce9756"	"mobsnvf"	0.840689994378865	0.441695752815432
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"varscan2"	"a3b6625e-0ec4-4318-88c8-9226f6ce9756"	"vafsnvf"	0.851447442383361	0.569445599899554
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"varscan2"	"a3b6625e-0ec4-4318-88c8-9226f6ce9756"	"sobdetector"	0.764291736930864	0.277763963382394
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"varscan2"	"a3b6625e-0ec4-4318-88c8-9226f6ce9756"	"microsec"	0.500000000000005	0.168302945301543
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"varscan2"	"ff173879-8fbb-4f7b-848d-a77048b640c1"	"mobsnvf"	0.855624311909191	0.45806862339684
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"varscan2"	"ff173879-8fbb-4f7b-848d-a77048b640c1"	"vafsnvf"	0.780408868304166	0.43871953249968
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"varscan2"	"ff173879-8fbb-4f7b-848d-a77048b640c1"	"sobdetector"	0.768858433620595	0.292460841981402
"011b9b2d-ebe5-42bf-9662-d922faccc7a1"	"varscan2"	"ff173879-8fbb-4f7b-848d-a77048b640c1"	"microsec"	0.568818571808211	0.202718612899384
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"muse"	"592510e2-bc20-4cb5-890d-e425f5d48d79"	"mobsnvf"	0.995580808080808	0.990233846309672
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"muse"	"592510e2-bc20-4cb5-890d-e425f5d48d79"	"vafsnvf"	0.864741161616164	0.775111375513215
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"muse"	"592510e2-bc20-4cb5-890d-e425f5d48d79"	"sobdetector"	0.761679292929292	0.427088831533224
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"muse"	"592510e2-bc20-4cb5-890d-e425f5d48d79"	"microsec"	0.541035353535353	0.309478800835164
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"muse"	"795250b8-f858-45d5-a79e-d0c358dad542"	"mobsnvf"	0.986904430203399	0.936778693194364
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"muse"	"795250b8-f858-45d5-a79e-d0c358dad542"	"vafsnvf"	0.83867372527166	0.643806282408584
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"muse"	"795250b8-f858-45d5-a79e-d0c358dad542"	"sobdetector"	0.760796879353583	0.403721593223012
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"muse"	"795250b8-f858-45d5-a79e-d0c358dad542"	"microsec"	0.533574811925328	0.291126243945954
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"mutect2"	"25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e"	"mobsnvf"	0.875141985629141	0.779466289469922
"0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5"	"mutect2"	"25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e"	"vafsnvf"	0.605139560706035	0.496845385368783
